Pattern_ID,RoughPOS_N-Gram,DetailedPOS_N-Gram,Frequency,ID_Array
600001,DT.* NN.* CC.* NN.* CC.* JJ.*_CC.*,,24,"['010102', '004888', '034210', '054428', '057874', '191498', '197130', '203748', '220802', '235351', '237153', '240980', '258823', '258771', '263674', '340581', '359362', '380129', '382612', '393819', '403491', '518709', '525207', '557931']"
600002,NN.* CC.* NN.* CC.* JJ.*_CC.* FW,,2,"['010103', '200351']"
600003,CC.* NN.* CC.* JJ.*_CC.* FW CC.*,,2,"['010104', '447504']"
600004,NN.* DT.* DT.* NN.* CC.* FW,,2,"['010109', '019758']"
600005,RB.* CC.* PR.*_CC.* NN.* CC.* VB.*,,5,"['002781', '099562', '221810', '332048', '516408']"
600006,CC.* PR.*_CC.* NN.* CC.* VB.* PR.*,,5,"['002782', '036556', '083993', '247346', '500463']"
600007,PR.*_CC.* NN.* CC.* VB.* PR.* CC.*,,3,"['002783', '113742', '182463']"
600008,CC.* VB.* PR.* CC.* NN.*_CC.* NN.*,,2,"['002784', '211853']"
600009,VB.* PR.* CC.* NN.*_CC.* NN.* CC.*,,3,"['002785', '004451', '018123']"
600010,NN.* CC.* CC.* DT.* NN.* LM,,2,"['002789', '208807']"
600011,CC.* CC.* DT.* NN.* LM JJ.*,,2,"['002790', '101849']"
600012,CC.* DT.* NN.* LM JJ.* JJ.*,,2,"['002791', '197620']"
600013,DT.* NN.* LM JJ.* JJ.* CC.*,,2,"['002792', '197621']"
600014,CC.* PR.* PM.* PR.* LM PR.*_CC.*,,2,"['002667', '109950']"
600015,PM.* PR.* LM PR.*_CC.* JJ.* CC.*,,3,"['002669', '239814', '289663']"
600016,PR.* LM PR.*_CC.* JJ.* CC.* NN.*,,2,"['002670', '289664']"
600017,NN.* PM.* CC.* PM.* FW CC.*,,2,"['002672', '036233']"
600018,CC.* PM.* FW CC.* NN.* CC.*,,2,"['002674', '498670']"
600019,PR.*_CC.* VB.* CC.* NN.* CC.* CC.*,,4,"['007285', '265407', '405363', '411105']"
600020,PR.*_CC.* VB.* CC.* NN.* RB.* CC.*,,5,"['007292', '008331', '093648', '408800', '522895']"
600021,NN.* RB.* CC.* NN.* PM.* PR.*_CC.*,,2,"['007293', '336305']"
600022,RB.* CC.* NN.* PM.* PR.*_CC.* NN.*,,2,"['007294', '455313']"
600023,PR.*_CC.* NN.* RB.* CC.* VB.* CC.*,,3,"['007297', '062275', '552261']"
600024,NN.* RB.* CC.* VB.* CC.* DT.*,,2,"['007298', '552262']"
600025,RB.* CC.* VB.* CC.* DT.* NN.*,,10,"['007299', '021762', '021820', '033379', '177743', '216265', '247338', '325397', '444709', '552263']"
600026,CC.* VB.* CC.* DT.* NN.* CC.*,,46,"['007300', '004325', '004894', '028454', '028466', '033380', '044280', '089222', '114180', '120778', '127763', '134786', '139319', '167835', '177744', '183842', '223637', '225317', '231687', '238701', '243847', '250839', '266809', '281102', '287517', '287793', '319997', '323080', '328771', '345850', '348858', '367707', '384421', '385689', '385869', '410632', '418215', '440970', '444812', '449974', '461550', '479361', '494508', '500938', '512320', '535224']"
600027,PR.* LM PR.*_CC.* NN.* CC.* NN.*,,3,"['002590', '348637', '378085']"
600028,CC.* NN.* CC.* VB.* DT.* NN.*,,22,"['002591', '021138', '056220', '068158', '080730', '093182', '121732', '122592', '153434', '163835', '166631', '172386', '192158', '201090', '207070', '207310', '323094', '349396', '422440', '429762', '462267', '540592']"
600029,VB.* DT.* NN.*_CC.* NN.* PM.* RB.*,,2,"['002081', '265502']"
600030,NN.* JJ.* CC.* PR.*_CC.* NN.* PM.*,,2,"['002097', '476256']"
600031,JJ.* CC.* PR.*_CC.* NN.* PM.* NN.*,,2,"['002098', '188802']"
600032,RB.* RB.*_CC.* VB.* CC.* NN.* CC.*,,3,"['000591', '123121', '389880']"
600033,VB.* CC.* NN.* CC.* RB.*_CC.* NN.*,,3,"['000593', '026124', '357400']"
600034,CC.* NN.* CC.* VB.* DT.* VB.*,,2,"['001374', '007056']"
600035,NN.* CC.* VB.* DT.* VB.* CC.*,,4,"['001375', '007057', '215790', '501430']"
600036,LM VB.* RB.* CC.* DT.* DT.*,,2,"['007157', '485685']"
600037,PM.* VB.*_CC.* VB.* CC.* VB.* CC.*,,2,"['011522', '426540']"
600038,VB.* CC.* CC.* NN.* CC.* JJ.*_CC.*,,3,"['011523', '159515', '262669']"
600039,NN.* CC.* JJ.*_CC.* FW FW CC.*,,2,"['011525', '035359']"
600040,VB.* CC.* PR.*_CC.* NN.* CC.* CC.*,,8,"['000523', '078423', '242684', '340212', '383069', '420410', '536900', '541341']"
600041,PM.* VB.* PR.* DT.* NN.* CC.*,,10,"['000527', '017519', '029059', '033691', '240167', '321041', '359361', '459051', '478621', '523702']"
600042,VB.* PR.* DT.* NN.* CC.* PR.*_CC.*,,4,"['000528', '361020', '361229', '478622']"
600043,PR.* DT.* NN.* CC.* PR.*_CC.* NN.*,,7,"['000529', '034233', '044533', '188537', '361230', '374580', '478623']"
600044,CC.* PR.*_CC.* NN.* DT.* NN.* PM.*,,2,"['000530', '211048']"
600045,VB.* PR.* DT.* NN.* CC.* DT.*,,6,"['002878', '022678', '061314', '083922', '459052', '489849']"
600046,PR.* DT.* NN.* CC.* DT.* JJ.*_CC.*,,2,"['002879', '083923']"
600047,VB.* PR.* CC.* PR.*_CC.* NN.* CC.*,,13,"['002887', '161072', '165193', '242766', '250075', '275466', '286654', '455751', '458256', '464634', '501713', '523871', '559230']"
600048,PR.* CC.* PR.*_CC.* NN.* CC.* DT.*,,3,"['002888', '195340', '559231']"
600049,CC.* PR.*_CC.* NN.* CC.* DT.* NN.*,,22,"['002889', '115639', '128985', '165187', '172404', '189210', '195341', '245324', '263451', '268956', '309814', '320961', '324325', '327666', '350647', '351040', '390743', '392471', '410693', '451973', '468733', '547483']"
600050,CC.* DT.* NN.* CC.* RB.* JJ.*_CC.*,,3,"['002890', '087892', '132851']"
600051,CC.* PR.*_CC.* NN.* CC.* VB.* DT.*,,20,"['000403', '018782', '130938', '164053', '180867', '184766', '198177', '207729', '215788', '276735', '335911', '348553', '361148', '404018', '428199', '469673', '489246', '492690', '523873', '551681']"
600052,PR.*_CC.* NN.* CC.* VB.* DT.* NN.*,,13,"['000404', '009553', '018783', '051934', '220801', '234066', '241690', '342676', '348554', '395825', '428200', '551682', '552028']"
600053,NN.* CC.* VB.* DT.* NN.* PM.*,,5,"['000405', '051935', '153435', '182197', '234067']"
600054,CD.* NN.* CC.* RB.*_CC.* VB.* DT.*,,2,"['000406', '191207']"
600055,CC.* NN.* PM.* VB.* CC.* CC.*,,2,"['000413', '109606']"
600056,PM.* VB.* CC.* CC.* CC.* NN.*,,2,"['000415', '398385']"
600057,VB.* CC.* CC.* CC.* NN.* CC.*,,3,"['000416', '136464', '398386']"
600058,DT.* NN.* LM VB.* CC.* NN.*_CC.*,,9,"['000417', '055189', '121741', '201346', '211905', '284868', '328639', '367883', '536277']"
600059,NN.* LM VB.* CC.* NN.*_CC.* FW,,2,"['000418', '224043']"
600060,DT.* DT.* PR.* CC.* NN.* CC.*,,2,"['000424', '238500']"
600061,CC.* NN.* CC.* NN.*_CC.* NN.* PM.*,,3,"['000957', '261552', '444214']"
600062,CC.* CC.* VB.* PR.* DT.* NN.*,,2,"['007241', '083920']"
600063,CC.* VB.* PR.* DT.* NN.* CC.*,,16,"['007242', '059191', '061313', '073479', '074407', '076842', '083921', '172171', '268739', '297519', '301705', '361228', '457365', '458257', '475037', '489848']"
600064,PR.* CC.* VB.* CC.* NN.* PM.*,,4,"['007244', '060807', '363236', '428303']"
600065,CC.* VB.* CC.* NN.* PM.* RB.*,,10,"['007245', '057920', '114521', '338539', '380999', '449581', '450123', '474678', '494512', '540322']"
600066,VB.* CC.* NN.* PM.* RB.* PR.*,,3,"['007246', '338540', '494513']"
600067,CC.* PR.* PM.* VB.* RB.* DT.*,,2,"['009723', '012109']"
600068,PR.* PM.* VB.* RB.* DT.* NN.*,,2,"['009724', '012110']"
600069,PM.* VB.* RB.* DT.* NN.* CC.*,,11,"['009725', '009630', '012111', '010344', '014606', '076741', '139262', '152018', '529554', '556937', '557079']"
600070,CC.* PR.* LM VB.*_CC.* VB.* DT.*,,2,"['004974', '429714']"
600071,PR.* LM VB.*_CC.* VB.* DT.* PR.*_CC.*,,2,"['004975', '510990']"
600072,VB.* DT.* PR.*_CC.* NN.*_CC.* NN.* CC.*,,3,"['004978', '073846', '275313']"
600073,VB.* PR.*_CC.* VB.* CC.* DT.* PR.*_CC.*,,2,"['007214', '488855']"
600074,PR.*_CC.* VB.* CC.* DT.* PR.*_CC.* NN.*,,3,"['007215', '070455', '488856']"
600075,VB.* CC.* DT.* PR.*_CC.* NN.* LM,,13,"['007216', '070456', '078719', '130361', '278969', '303991', '319593', '321171', '376963', '407234', '464285', '488857', '503360']"
600076,CC.* DT.* DT.* NN.*_CC.* JJ.* LM,,2,"['007220', '251048']"
600077,RB.* PM.* CC.* DT.* NN.* CC.*,,4,"['007228', '076061', '186709', '287774']"
600078,PM.* CC.* DT.* NN.* CC.* PR.*,,2,"['007229', '524010']"
600079,CC.* DT.* NN.* CC.* PR.* LM,,15,"['007230', '056572', '090122', '106214', '158386', '222199', '233058', '246163', '283928', '289157', '324627', '348633', '434853', '524011', '550795']"
600080,PM.* VB.* CC.* JJ.* CC.* NN.*,,4,"['000801', '095567', '143258', '162849']"
600081,PR.* CC.* VB.* RB.* DT.* NN.*,,2,"['011240', '276655']"
600082,CC.* VB.* RB.* DT.* NN.* CC.*,,11,"['011241', '038756', '097303', '151035', '259610', '265276', '267114', '423199', '467674', '504222', '520540']"
600083,LM DT.* NN.* CC.* PR.*_CC.* NN.*,,2,"['001816', '422275']"
600084,DT.* NN.* CC.* PR.*_CC.* NN.* PM.*,,18,"['001817', '028286', '040134', '044534', '052011', '063307', '064620', '127772', '130941', '188538', '206003', '219319', '257802', '267409', '353715', '364640', '374581', '484767']"
600085,NN.* CC.* PR.*_CC.* NN.* PM.* DT.*,,7,"['001818', '040772', '100174', '130942', '206004', '257803', '315350']"
600086,CC.* PR.*_CC.* NN.* PM.* DT.* DT.*,,2,"['001819', '383994']"
600087,PR.*_CC.* NN.* PM.* DT.* DT.* NN.*,,3,"['001820', '097337', '383995']"
600088,PM.* DT.* DT.* NN.* CC.* VB.*_VB.*,,2,"['001821', '498401']"
600089,DT.* DT.* NN.* CC.* VB.*_VB.* CC.*,,2,"['001822', '557678']"
600090,DT.* NN.* CC.* VB.*_VB.* CC.* VB.*,,4,"['001823', '221959', '371320', '557679']"
600091,FW PM.* PM.* VB.* RB.* DT.*,,2,"['009628', '026859']"
600092,PM.* PM.* VB.* RB.* DT.* NN.*,,2,"['009629', '026860']"
600093,VB.* RB.* DT.* NN.* CC.* JJ.*_CC.*,,6,"['009631', '166893', '329501', '450701', '504223', '556938']"
600094,RB.* DT.* NN.* CC.* JJ.*_CC.* NN.*,,6,"['009632', '166894', '255596', '329502', '450702', '556939']"
600095,DT.* NN.* CC.* JJ.*_CC.* NN.* CC.*,,32,"['009633', '032676', '052026', '055223', '064294', '103762', '111559', '125991', '157677', '162870', '164255', '177462', '191230', '192290', '217962', '233471', '300829', '329503', '344040', '347432', '383586', '407869', '450703', '458934', '472758', '474199', '518906', '526792', '534404', '555860', '556940', '561773']"
600096,VB.* PR.* CC.* DT.* NN.* CC.*,,25,"['000207', '048852', '067100', '074395', '085932', '086949', '183353', '196168', '200888', '247170', '254345', '258175', '298070', '321161', '361880', '371183', '390724', '407241', '421325', '450131', '471316', '489852', '490222', '495108', '528166']"
600097,VB.* PR.* PM.* DT.* NN.* CC.*,,3,"['000213', '085258', '238688']"
600098,PM.* DT.* NN.* CC.* VB.* CC.*,,9,"['000215', '117599', '134034', '147640', '154889', '245115', '275319', '446644', '546463']"
600099,DT.* NN.* CC.* VB.* CC.* PR.*_CC.*,,18,"['000216', '010715', '066509', '115065', '121124', '173026', '185312', '241005', '247110', '248261', '283938', '324826', '356225', '364933', '365930', '496274', '505277', '531493']"
600100,CC.* VB.* CC.* PR.*_CC.* NN.* CC.*,,17,"['000217', '036371', '119019', '215786', '244171', '257178', '263419', '330693', '337584', '356227', '381570', '393439', '413429', '481875', '505763', '520625', '523670']"
600101,VB.* CC.* PR.*_CC.* NN.* CC.* PR.*_CC.*,,6,"['000218', '093045', '245356', '359698', '362349', '393440']"
600102,CC.* JJ.*_CC.* NN.* PM.* NN.* CC.*,,2,"['000220', '184587']"
600103,CC.* VB.* CC.* NN.* PM.* CC.*,,10,"['000222', '183206', '309645', '411580', '415930', '459089', '476321', '481605', '481624', '524733']"
600104,JJ.* CC.* PR.*_CC.* NN.* PM.* VB.*,,2,"['002549', '082014']"
600105,CC.* PR.*_CC.* NN.* PM.* VB.* PR.*,,5,"['002550', '028288', '073524', '333628', '557091']"
600106,PR.*_CC.* NN.* PM.* VB.* PR.* CC.*,,5,"['002551', '028289', '073525', '333629', '557092']"
600107,NN.* PM.* VB.* PR.* CC.* VB.*,,5,"['002552', '076696', '276645', '332661', '337560']"
600108,VB.* PR.* CC.* VB.* CC.* NN.*,,6,"['002554', '057645', '352687', '449811', '510380', '535241']"
600109,PR.* LM RB.* CC.* VB.* CC.*,,3,"['007188', '083963', '372868']"
600110,LM RB.* CC.* VB.* CC.* NN.*_CC.*,,2,"['007189', '238357']"
600111,VB.* DT.* PR.*_CC.* NN.* CC.* NN.*,,24,"['007195', '055193', '067554', '071124', '072150', '138423', '169401', '171851', '195423', '195449', '203571', '242664', '248187', '264384', '342986', '361152', '391934', '427158', '430661', '431709', '450905', '452744', '473065', '475952']"
600112,PR.*_CC.* NN.* PM.* VB.* DT.* NN.*,,8,"['009767', '017517', '073812', '074879', '135632', '162845', '187992', '312148']"
600113,NN.* RB.* RB.* VB.* CC.* DT.*,,5,"['009768', '295042', '329626', '444995', '559208']"
600114,VB.* CC.* DT.* CC.* PM.* NN.*,,5,"['009771', '508282', '509076', '509815', '552138']"
600115,CC.* DT.* CC.* PM.* NN.* CC.*,,2,"['009772', '336627']"
600116,NN.* PM.* PM.* PR.* LM VB.*,,4,"['002497', '233474', '404066', '526579']"
600117,PM.* PM.* PR.* LM VB.* CC.*,,6,"['002498', '090083', '233475', '374601', '404067', '526580']"
600118,PM.* PR.* LM VB.* CC.* NN.*,,9,"['002499', '090084', '240959', '290231', '312253', '360689', '425771', '516388', '526581']"
600119,PR.* LM VB.* CC.* NN.* PM.*,,12,"['002500', '144061', '182565', '183278', '269783', '282060', '298115', '332143', '448674', '458865', '462576', '509846']"
600120,PM.* JJ.* CC.* PR.* LM VB.*,,3,"['007054', '096098', '504122']"
600121,JJ.* CC.* PR.* LM VB.* CC.*,,4,"['007055', '096099', '218436', '527455']"
600122,CC.* VB.* DT.* VB.* CC.* DT.*,,2,"['007058', '215791']"
600123,JJ.*_CC.* NN.* CC.* NN.* CC.* NN.*,,35,"['009544', '049433', '050853', '064666', '079699', '083949', '087734', '092065', '093505', '094339', '104849', '104873', '107700', '127366', '127839', '132129', '156452', '160578', '179199', '196607', '198122', '262227', '280690', '290193', '314918', '359650', '392303', '396070', '439496', '443146', '460222', '464471', '493305', '507110', '561774']"
600124,CC.* NN.* CC.* NN.* PM.* CC.*,,27,"['009545', '024800', '077165', '118101', '142320', '238139', '251450', '256596', '257303', '267355', '270099', '275013', '300833', '316005', '321983', '338227', '358831', '362625', '363618', '368890', '400807', '430576', '443099', '444807', '499956', '559002', '559251']"
600125,CC.* NN.* PM.* CC.* FW PM.*,,3,"['009547', '025497', '515255']"
600126,CC.* FW PM.* PR.*_CC.* NN.* CC.*,,2,"['009550', '247014']"
600127,FW PM.* PR.*_CC.* NN.* CC.* VB.*,,2,"['009551', '247015']"
600128,PM.* PR.*_CC.* NN.* CC.* VB.* DT.*,,2,"['009552', '251934']"
600129,NN.* CC.* VB.* DT.* NN.* CC.*,,33,"['009554', '013627', '016766', '021139', '029255', '037087', '056221', '093183', '102399', '111556', '113734', '122593', '159828', '162711', '166632', '172387', '199171', '207071', '207311', '236004', '259460', '293053', '300048', '345845', '348548', '349397', '359732', '364627', '380926', '384375', '444980', '463677', '489104']"
600130,CC.* PR.*_CC.* NN.*_CC.* VB.* DT.* NN.*,,2,"['001300', '554013']"
600131,NN.* RB.* RB.* VB.* PR.* CC.*,,4,"['001305', '046095', '062379', '077780']"
600132,CC.* VB.* RB.* DT.* PR.* CC.*,,2,"['001308', '446468']"
600133,CC.* NN.* LM VB.* CC.* VB.*,,27,"['001311', '104680', '110578', '125309', '133232', '146333', '152055', '168097', '193296', '198613', '258176', '303005', '306363', '316794', '327463', '330159', '351028', '357866', '357763', '395809', '415469', '432711', '463333', '531488', '537100', '540637', '541540']"
600134,NN.* LM VB.* CC.* VB.* CC.*,,47,"['001312', '051895', '088268', '100031', '104681', '110579', '119936', '125310', '126763', '146334', '149588', '152056', '165414', '170206', '198614', '210521', '217917', '228492', '235767', '242497', '247171', '258177', '286370', '291595', '326277', '328763', '348622', '357817', '368024', '370050', '385072', '394469', '408597', '411092', '432712', '433008', '434138', '435423', '463334', '489971', '502004', '517533', '524732', '531489', '540638', '541541', '559684']"
600135,RB.* VB.* CC.* DT.* NN.* CC.*,,9,"['001420', '065597', '167614', '225896', '298025', '303807', '407240', '511436', '559210']"
600136,RB.* DT.* NN.* CC.* PR.*_CC.* NN.*,,2,"['001422', '218312']"
600137,PR.* VB.* DT.* PR.*_CC.* NN.* CC.*,,4,"['006998', '071123', '523999', '533164']"
600138,VB.* DT.* PR.*_CC.* NN.* CC.* CC.*,,3,"['006999', '237428', '359355']"
600139,CC.* CC.* VB.* CC.* DT.* NN.*,,2,"['011417', '159355']"
600140,CC.* VB.* CC.* DT.* NN.* PM.*,,15,"['011418', '021763', '025833', '051921', '173608', '239087', '250187', '273847', '369624', '379391', '413739', '467470', '474451', '481869', '524484']"
600141,VB.* RB.* DT.* NN.* CC.* JJ.*,,2,"['009746', '049723']"
600142,NN.* PM.* NN.* CC.* VB.* CC.*,,4,"['009747', '253649', '299058', '461265']"
600143,PM.* NN.* CC.* VB.* CC.* NN.*,,8,"['009748', '069397', '100943', '261209', '297008', '373680', '396045', '539218']"
600144,PR.* VB.* CC.* DT.* NN.* CC.*,,5,"['009754', '110139', '110729', '317035', '554086']"
600145,RB.* PR.* VB.* CC.* JJ.*_CC.* NN.*,,2,"['012592', '523905']"
600146,PR.* DT.* PR.*_CC.* NN.* PM.* NN.*,,2,"['001887', '547977']"
600147,JJ.* CC.* DT.* NN.* PM.* CC.*,,4,"['001888', '394478', '446309', '465952']"
600148,PR.* LM VB.* CC.* NN.* CC.*,,42,"['003396', '002208', '086298', '090199', '090085', '102177', '105115', '109957', '116588', '135781', '138027', '150689', '209349', '210745', '221744', '223584', '240960', '242245', '307866', '324632', '353722', '357398', '359350', '360690', '379380', '404254', '428568', '435412', '447501', '452655', '459036', '462784', '476064', '485918', '496574', '516389', '516640', '526582', '530971', '534772', '543345', '550799']"
600149,LM VB.* CC.* NN.* CC.* DT.*,,29,"['003397', '061382', '064619', '086299', '090507', '128411', '157674', '162244', '204263', '208772', '302016', '302420', '303071', '325765', '336312', '369574', '371670', '372556', '384134', '396199', '431699', '442911', '466168', '469448', '473411', '484764', '492854', '520543', '543346']"
600150,CC.* DT.* NN.* CC.* NN.*_CC.* JJ.*,,5,"['003398', '000668', '004594', '194209', '494847']"
600151,CC.* PR.* CC.* DT.* NN.* CC.*,,8,"['003399', '140415', '174607', '185763', '276727', '278861', '296725', '390650']"
600152,CC.* DT.* NN.* CC.* JJ.*_CC.* DT.*,,3,"['003401', '297006', '345161']"
600153,DT.* NN.* CC.* JJ.*_CC.* DT.* NN.*,,2,"['003402', '345162']"
600154,NN.* CC.* JJ.*_CC.* DT.* NN.* LM,,3,"['003403', '345163', '356093']"
600155,CC.* JJ.*_CC.* DT.* NN.* LM VB.*,,2,"['003404', '345164']"
600156,CC.* VB.* CC.* JJ.*_JJ.*_CC.* NN.* CC.*,,3,"['003408', '551095', '554390']"
600157,PR.* LM DT.* NN.* CC.* VB.*,,2,"['003701', '153329']"
600158,NN.* PM.* CC.* DT.* VB.* CC.*,,5,"['003703', '145161', '207374', '370774', '500102']"
600159,NN.* CC.* RB.* VB.* CC.* PR.*_CC.*,,6,"['006786', '120368', '303793', '309810', '444569', '537285']"
600160,CC.* RB.* VB.* CC.* PR.*_CC.* NN.*,,7,"['006787', '112687', '120369', '303794', '309811', '416226', '468243']"
600161,RB.* VB.* CC.* PR.*_CC.* NN.* DT.*,,3,"['006788', '468244', '518381']"
600162,VB.* CC.* PR.*_CC.* NN.* DT.* NN.*,,7,"['006789', '064301', '432134', '464195', '465727', '468245', '518382']"
600163,RB.* DT.* DT.* NN.* CC.* VB.*,,5,"['009406', '014145', '166942', '463005', '506654']"
600164,DT.* DT.* NN.* CC.* VB.* CC.*,,32,"['009407', '008804', '011715', '041963', '054440', '078528', '114520', '115064', '132078', '134866', '135366', '135195', '160765', '166943', '187622', '189440', '196180', '277739', '312731', '320886', '323079', '340169', '345250', '348315', '364513', '382663', '397628', '401720', '420184', '450615', '463006', '505276']"
600165,DT.* NN.* CC.* VB.* CC.* NN.*,,29,"['009408', '022754', '047382', '054441', '060357', '096624', '112550', '148402', '189441', '199174', '226731', '236787', '259549', '263446', '269002', '277734', '277882', '285387', '321150', '332039', '345248', '372946', '402966', '434448', '479150', '484533', '488225', '490702', '515573']"
600166,NN.* CC.* VB.* CC.* NN.* PM.*,,25,"['009409', '014847', '047383', '057919', '076003', '106223', '112551', '127661', '156587', '201107', '228386', '269062', '277883', '282143', '296709', '338325', '345256', '372947', '408725', '434436', '455333', '459088', '502828', '521779', '533154']"
600167,CC.* VB.* CC.* NN.* PM.* NN.*,,2,"['009410', '112552']"
600168,JJ.* CC.* NN.* CC.* VB.*_VB.* CC.*,,5,"['012373', '481066', '524327', '535824', '537905']"
600169,VB.* PR.* DT.* JJ.* CC.* NN.*,,4,"['003185', '102507', '196071', '373392']"
600170,PR.* DT.* JJ.* CC.* NN.* CC.*,,3,"['003186', '102508', '373393']"
600171,DT.* JJ.* CC.* NN.* CC.* VB.*,,4,"['003187', '074447', '273499', '489153']"
600172,JJ.* CC.* NN.* CC.* VB.* CC.*,,9,"['003188', '077932', '110743', '149006', '269604', '332753', '337581', '413908', '525714']"
600173,VB.* RB.* CC.* DT.* NN.* CC.*,,14,"['003875', '005652', '054149', '112463', '134280', '168467', '281689', '283919', '294219', '391272', '447020', '491172', '531916', '552767']"
600174,RB.* CC.* DT.* NN.* CC.* VB.*,,5,"['003876', '037653', '275567', '294220', '531138']"
600175,CC.* DT.* NN.*_CC.* VB.*_VB.* CC.* NN.*,,3,"['003881', '003631', '505314']"
600176,VB.*_VB.* CC.* NN.* PM.* NN.* CC.*,,2,"['003884', '091549']"
600177,CC.* CC.* DT.* DT.* NN.* LM,,2,"['011214', '510977']"
600178,CC.* DT.* DT.* NN.* LM VB.*,,37,"['011215', '065153', '088265', '094677', '102392', '116201', '117129', '123773', '134276', '158202', '161802', '165411', '180659', '186951', '219028', '270660', '313733', '323697', '325388', '325818', '342895', '364676', '370347', '370529', '410876', '424179', '465945', '487278', '487550', '493725', '510978', '520778', '523716', '541501', '552144', '560727', '561914']"
600179,CC.* JJ.*_CC.* NN.* DT.* NN.* PM.*,,5,"['009934', '037637', '144938', '306520', '535233']"
600180,JJ.*_CC.* NN.* DT.* NN.* PM.* RB.*,,3,"['009935', '305914', '306521']"
600181,NN.* DT.* NN.* PM.* RB.* RB.*,,2,"['009936', '295215']"
600182,DT.* NN.* PM.* RB.* RB.* VB.*,,3,"['009937', '183425', '343145']"
600183,NN.* PM.* RB.* RB.* VB.* PR.*,,4,"['009938', '053178', '265398', '265505']"
600184,CC.* NN.* CC.* VB.* RB.* DT.*,,10,"['009941', '001038', '049721', '267112', '458179', '463001', '467672', '505639', '542774', '555827']"
600185,NN.* CC.* VB.* RB.* DT.* DT.*,,4,"['009942', '001039', '013789', '463002']"
600186,DT.* DT.* JJ.* PM.* NN.* CC.*,,4,"['009946', '021736', '194010', '386489']"
600187,RB.* CC.* PR.*_CC.* NN.* JJ.* CC.*,,2,"['003526', '240413']"
600188,RB.* PR.* DT.* NN.* CC.* DT.*,,6,"['003531', '000667', '008367', '007692', '295247', '447897']"
600189,CC.* DT.* NN.* CC.* RB.* VB.*,,7,"['003532', '094806', '105968', '107670', '156179', '302842', '531918']"
600190,DT.* NN.* CC.* RB.* VB.* CC.*,,10,"['003533', '052091', '105969', '107671', '120367', '156180', '233763', '382670', '420677', '534441']"
600191,CC.* NN.* CC.* NN.*_CC.* PR.* LM,,2,"['006301', '122845']"
600192,NN.* CC.* NN.*_CC.* PR.* LM CC.*,,2,"['006302', '164243']"
600193,NN.* CC.* NN.*_CC.* JJ.* CC.* DT.*,,3,"['006308', '168432', '194211']"
600194,NN.*_CC.* JJ.* CC.* DT.* NN.*_CC.* VB.*,,2,"['006310', '108261']"
600195,CC.* JJ.* CC.* NN.* CC.* DT.*,,19,"['003135', '095569', '102390', '110572', '138076', '142994', '145985', '161378', '231187', '264314', '309944', '363123', '379041', '379516', '439283', '458560', '474888', '536910', '561318']"
600196,CC.* NN.* CC.* DT.* JJ.*_CC.* NN.*,,13,"['003137', '016056', '100601', '109549', '127556', '215934', '273507', '304237', '319346', '328567', '443384', '473067', '558055']"
600197,CC.* NN.* PM.* CC.* VB.* DT.*,,25,"['003079', '060809', '084497', '113908', '130083', '140479', '141631', '153547', '174304', '212825', '256585', '265508', '358833', '365794', '375216', '383587', '416697', '418556', '422496', '427154', '441825', '451218', '488223', '503371', '562583']"
600198,VB.* DT.* CC.* PM.* NN.* CC.*,,3,"['006236', '378756', '549221']"
600199,LM DT.* NN.*_CC.* VB.* CC.* DT.*,,3,"['006239', '004099', '065983']"
600200,CC.* NN.* CC.* DT.* VB.* LM,,3,"['011153', '061712', '077738']"
600201,CC.* DT.* VB.* LM VB.* RB.*,,2,"['011155', '108920']"
600202,DT.* VB.* LM VB.* RB.* CC.*,,3,"['011156', '108921', '234175']"
600203,PR.* CC.* JJ.* VB.* DT.* NN.*,,2,"['005962', '255510']"
600204,CC.* DT.* NN.* CC.* JJ.* VB.*,,2,"['005964', '097866']"
600205,DT.* DT.* JJ.*_CC.* NN.* LM VB.*,,9,"['011308', '157991', '204260', '314457', '319581', '403539', '517639', '517931', '561975']"
600206,DT.* JJ.*_CC.* NN.* LM VB.* RB.*_CC.*,,8,"['011309', '095797', '103824', '139874', '335167', '456818', '460579', '561976']"
600207,FW LM VB.* CC.* PR.*_CC.* NN.*,,2,"['009338', '155332']"
600208,LM VB.* CC.* PR.*_CC.* NN.* CC.*,,53,"['009339', '058171', '065786', '081175', '103613', '128983', '155333', '168599', '170360', '180865', '183693', '184353', '185601', '201751', '204628', '214830', '235211', '242683', '246106', '246380', '253462', '268439', '308934', '313210', '319260', '352845', '361161', '362348', '371975', '372713', '420409', '424533', '425808', '429097', '430534', '434177', '443399', '451816', '469840', '474444', '475949', '477400', '477624', '501194', '514545', '529561', '536899', '541340', '545738', '547481', '548976', '551679', '553328']"
600209,VB.* CC.* PR.*_CC.* NN.* CC.* VB.*,,23,"['009340', '018781', '021115', '155334', '167057', '180866', '201752', '202202', '215787', '223634', '246107', '254020', '336331', '337585', '404017', '429098', '430378', '469672', '477401', '545739', '547487', '551680', '551480']"
