Pattern_ID,RoughPOS_N-Gram,DetailedPOS_N-Gram,Frequency,ID_Array
700001,CC.* DT.* NN.* CC.* NN.* CC.* JJ.*_CC.*,,2,"['010288', '197312']"
700002,PM.* PR.* LM PR.*_CC.* JJ.* CC.* NN.*,,2,"['002679', '289884']"
700003,PR.*_CC.* VB.* CC.* NN.* RB.* CC.* NN.*,,2,"['007494', '408810']"
700004,PR.*_CC.* NN.* RB.* CC.* VB.* CC.* DT.*,,2,"['007498', '552460']"
700005,RB.* CC.* VB.* CC.* DT.* NN.* CC.*,,3,"['007499', '033391', '177892']"
700006,CC.* NN.* CC.* VB.* DT.* VB.* CC.*,,2,"['001379', '007061']"
700007,PM.* VB.* PR.* DT.* NN.* CC.* PR.*_CC.*,,2,"['000536', '478632']"
700008,VB.* PR.* DT.* NN.* CC.* PR.*_CC.* NN.*,,3,"['000537', '361593', '478633']"
700009,VB.* PR.* DT.* NN.* CC.* DT.* JJ.*_CC.*,,2,"['002892', '084101']"
700010,VB.* PR.* CC.* PR.*_CC.* NN.* CC.* DT.*,,2,"['002901', '559452']"
700011,PR.* CC.* PR.*_CC.* NN.* CC.* DT.* NN.*,,2,"['002902', '195348']"
700012,CC.* PR.*_CC.* NN.* CC.* VB.* DT.* NN.*,,5,"['000425', '018924', '348671', '428376', '551697']"
700013,PR.*_CC.* NN.* CC.* VB.* DT.* NN.* PM.*,,4,"['000426', '052244', '234296', '396091']"
700014,PM.* VB.* CC.* CC.* CC.* NN.* CC.*,,2,"['000434', '398554']"
700015,CC.* CC.* VB.* PR.* DT.* NN.* CC.*,,2,"['007449', '084099']"
700016,CC.* VB.* CC.* NN.* PM.* RB.* PR.*,,3,"['007452', '338718', '494758']"
700017,CC.* PR.* PM.* VB.* RB.* DT.* NN.*,,2,"['009829', '012228']"
700018,PR.* PM.* VB.* RB.* DT.* NN.* CC.*,,2,"['009830', '012229']"
700019,VB.* PR.*_CC.* VB.* CC.* DT.* PR.*_CC.* NN.*,,2,"['007430', '488888']"
700020,PR.*_CC.* VB.* CC.* DT.* PR.*_CC.* NN.* LM,,3,"['007431', '070627', '488889']"
700021,PM.* CC.* DT.* NN.* CC.* PR.* LM,,2,"['007442', '524039']"
700022,CC.* PR.*_CC.* NN.* PM.* DT.* DT.* NN.*,,2,"['001827', '384183']"
700023,NN.* PM.* DT.* DT.* NN.* CC.* VB.*_VB.*,,2,"['001828', '498902']"
700024,DT.* DT.* NN.* CC.* VB.*_VB.* CC.* VB.*,,2,"['001830', '558026']"
700025,FW PM.* PM.* VB.* RB.* DT.* NN.*,,2,"['009757', '026990']"
700026,PM.* VB.* RB.* DT.* NN.* CC.* JJ.*_CC.*,,2,"['009759', '556947']"
