Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
"Nakakatuwa si Ricky Davao kapag kapag nagdidirek siya ng isang drama series, dahil lumalabas pa rin talaga ang pagiging aktor niya.","Nakakatuwa si Ricky Davao kapag nagdidirek siya ng isang drama series, dahil lumalabas pa rin talaga ang pagiging aktor niya.","Nakakatuwa si Ricky daan kapag kapag ididirek siya ng isang drama series, dahil lumalabas pa rin talaga ang pagiging aktor niya.","['Davao', 'nagdidirek']","{'Davao': ['avai', 'cavan', 'daan', 'dabaw', 'dadag'], 'nagdidirek': ['nagdidirekta', 'nagdidiyak', 'ididirek', 'magdidiyak', 'nagdidieta']}",TP,FN
12 sa kabila ng pagpapatupad ng bagong travel restrictions dulot ng ng Omicron strain ng coronavirus.Ayon.,12 sa kabila ng pagpapatupad ng bagong travel restrictions dulot ng Omicron strain ng coronavirus.Ayon.,ag sa kabila ng pagpapatupad ng bagong travel restrictions dulot ng ng Omicron strain ng coronavirus.Ayon.,['12'],"{'12': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"Minsan, ang iba sa atin ay hindi naiiwasang maging maging kahalintulad ni Juan.","Minsan, ang iba sa atin ay hindi naiiwasang maging kahalintulad ni Juan.","Minsan, ang iba sa atin ay hindi naiiwasang maging maging kahalintulad ni aban.",['Juan'],"{'Juan': ['tuan', 'yuan', 'aban', 'agan', 'ahan']}",TP,FN
"Bukod sa pamamahagi ng 1,400 one-gallon botelya ng liquid hand soaps at disinfectants, at ng 800 buckets sa ibat ibang paaralan, nagkaloob ang Maynilad ng 4,600 washable face masks para para gamitin ng mga guro at iba pang school personnel.","Bukod sa pamamahagi ng 1,400 one-gallon botelya ng liquid hand soaps at disinfectants, at ng 800 buckets sa ibat ibang paaralan, nagkaloob ang Maynilad ng 4,600 washable face masks para gamitin ng mga guro at iba pang school personnel.","Bukod sa pamamahagi ng d,aam one-gallon botelya ng liquid hand soaps at disimpektant, at ng aam baskets sa ibat ibang paaralan, nagkaloob ang mabilad ng d,aam bailable face masks para para gamitin ng mga guro at iba pang school personnel.","['1', '400', 'disinfectants', '800', 'buckets', 'Maynilad', '4', '600', 'washable']","{'1': ['b', 'c', 'd', 'e', 'f'], '400': ['aag', 'aal', 'aam', 'aat', 'aaw'], 'disinfectants': ['disinfectant', 'disinfections', 'disimpektant', 'disimpektante', 'disinfect'], '800': ['aag', 'aal', 'aam', 'aat', 'aaw'], 'buckets': ['bucket', 'backers', 'baskets', 'bullets', 'lockets'], 'Maynilad': ['maynila', 'baynila', 'mabilad', 'magbilad', 'magnilay'], '4': ['b', 'c', 'd', 'e', 'f'], '600': ['aag', 'aal', 'aam', 'aat', 'aaw'], 'washable': ['passable', 'amiable', 'bailable', 'capable', 'disable']}",TP,FN
"Sabi ng kaibigan naming naming propesor, At partida pa ??yan, ha?","Sabi ng kaibigan naming propesor, At partida pa ??yan, ha?","Sabi ng kaibigan naming naming propesor, At partida pa ??yan, da?",['ha'],"{'ha': ['ba', 'cha', 'da', 'ga', 'h']}",TP,FN
Ano nga nga bang kondisyon mayroon si Melvin at bakit paulit-ulit siyang nagnanakaw ng bra at panty.,Ano nga bang kondisyon mayroon si Melvin at bakit paulit-ulit siyang nagnanakaw ng bra at panty.,Ano nga nga bang kondisyon mayroon si Melvin at bakit paulit-ulit siyang nagnanakaw ng bra at panty.,[],{},FN,FN
"Isa sa batayan ko pag tinatanong a ko kung ano ang palagay ko sa ugali ng isang artista, yung alalay niya o personal assistant, o yung nakikita ko na kasama niya.","Isa sa batayan ko pag tinatanong ako kung ano ang palagay ko sa ugali ng isang artista, yung alalay niya o personal assistant, o yung nakikita ko na kasama niya.","Isa sa batayan ko pag tinatanong ag ko kung ano ang palagay ko sa ugali ng isang artista, yung alalay niya o personal assistant, o yung nakikita ko na kasama niya.",['a'],"{'a': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"Ito ang kailangan natin, hindi pulitika, batikos, pagalingan, sisihan at mga papogi na may m ga personal na interes.","Ito ang kailangan natin, hindi pulitika, batikos, pagalingan, sisihan at mga papogi na may mga personal na interes.","Ito ang kailangan natin, hindi pulitika, batikos, pagalingin, sisihin at mga dapog na may m ga personal na interes.","['pagalingan', 'sisihan', 'papogi']","{'pagalingan': ['gagalingan', 'kagalingan', 'pagalingin', 'pagbalingan', 'babalingan'], 'sisihan': ['gisihan', 'sigihan', 'sisihin', 'sistihan', 'asistihan'], 'papogi': ['aapog', 'apog', 'dapog', 'pagi', 'palagi']}",TP,FN
Nandito si coach Ramil (de Jesus) ganado kami dahil nan dito siya.,Nandito si coach Ramil (de Jesus) ganado kami dahil nandito siya.,Nandito si coach rail (de desks) ganado kami dahil ban dito siya.,"['Ramil', 'Jesus', 'nan']","{'Ramil': ['aamil', 'amil', 'rail', 'rami', 'ramie'], 'Jesus': ['beses', 'census', 'desks', 'deus', 'fetus'], 'nan': ['an', 'anan', 'ban', 'can', 'ean']}",TP,FN
"Maraming mga dahilan akong naririnig, pero mas magan da na sa kanila manggaling yon.","Maraming mga dahilan akong naririnig, pero mas maganda na sa kanila manggaling yon.","Maraming mga dahilan akong naririnig, pero mas maan da na sa kanila manggaling yon.",['magan'],"{'magan': ['agan', 'dagan', 'maan', 'maga', 'magaan']}",TP,FN
