Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
"Maaaring ganundin sa Kapamilya channel, kaya nagresign na muna si Toni Gonzaga sa PBB.","Maaaring ganundin sa Kapamilya channel, kaya nag-resign na muna si Toni Gonzaga sa PBB.","Maaaring ganundin sa Kapamilya channel, kaya agresibo na muna si tone bongga sa aba.","['nagresign', 'Toni', 'Gonzaga', 'PBB']","{'nagresign': ['nagresibo', 'agrerian', 'agresibo', 'agresyon', 'magresibo'], 'Toni': ['tini', 'ton', 'tone', 'tong', 'tono'], 'Gonzaga': ['ginaga', 'banyaga', 'bongga', 'dinaga', 'gaga'], 'PBB': ['peb', 'ab', 'aba', 'abf', 'abo']}",TP,FN
Kahit na naka-zoom lang si ya at least nakapag-participate siya sa show.,Kahit na naka-zoom lang siya at least nakapag-participate siya sa show.,Kahit na naka-zoom lang si ya at least nakapag-participate siya sa show.,[],{},FN,FN
"Ayon sa narinig kong usapan, nagustuhan raw kasi nitong i-produce siya ng live show ng AllTV kaso wala raw sa immediate plans ng network ang mag-produce lalo na nga at pinalalakas pa nila ang signal ng kanilang network.","Ayon sa narinig kong usapan, gusto raw kasi nitong i-produce siya ng live show ng AllTV kaso wala raw sa immediate plans ng network ang mag-produce lalo na nga at pinalalakas pa nila ang signal ng kanilang network.","Ayon sa narinig kong usapan, nagustuhan daw kasi nitong i-produce siya ng live show ng all kaso wala raw sa immediate plans ng network ang mag-produce lalo na nga at pinalalakas pa nila ang signal ng kanilang network.",['AllTV'],"{'AllTV': ['alat', 'alit', 'all', 'allow', 'ally']}",TP,FN
"Maniniwala ako na ang mga panukalang nilalaman nito ay magkakaroon ng malalim at positibong epekto sa buhay ng lahat ng Pilipino, ani Go.","Naniniwala ako na ang mga panukalang nilalaman nito ay magkakaroon ng malalim at positibong epekto sa buhay ng lahat ng Pilipino, ani Go.","Maniniwala ako na ang mga panukalang nilalaman nito ay magkakaroon ng malalim at positibong epekto sa buhay ng lahat ng Pilipino, ani Go.",[],{},FN,FN
"Dahil hindi sapat ang kita sa paglalabada, hindi niya naipagamot ang anak, at hindi din maibili ng magandang matres na mahihigan dahil inaabot ng mahigit P1,000 ang halaga.","Dahil hindi sapat ang kita sa paglalabada, hindi niya naipagamot ang anak, at hindi rin maibili ng magandang matres na mahihigan dahil inaabot ng mahigit P1,000 ang halaga.","Dahil hindi sapat ang kita sa paglalaba, hindi niya naipagamot ang anak, at hindi rin maibili ng magandang matres na mahihigab dahil inaabot ng mahigit pa,aam ang halaga.","['paglalabada', 'mahihigan', 'P1', '000']","{'paglalabada': ['maglalabada', 'naglalabada', 'paglalaba', 'paglalaban', 'paglalabanan'], 'mahihigan': ['mahihiga', 'mahihigaan', 'mahihigab', 'mahihigang', 'mahihigtan'], 'P1': ['p', 'p3', 'pa', 'pg', 'ph'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw']}",TP,FN
"Kaya nga ang ating mahal na Labor Secretary Silvestre Bello III nagannounce na kamakailan na i-extend 'yung mga natapos na kontrata sa Korea kasi 'di sila makakaalis at makakauwi dahil sa closure, paliwanag ni Olalia.","Kaya nga ang ating mahal na Labor Secretary Silvestre Bello III nag-announce na kamakailan na i-extend 'yung mga natapos na kontrata sa Korea kasi 'di sila makakaalis at makakauwi dahil sa closure, paliwanag ni Olalia.","Kaya nga ang ating mahal na Labor Secretary balustre belo igi denounce na kamakailan na i-extend 'yung mga natapos na kontrata sa Korea kasi 'di sila makakaalis at makakauwi dahil sa closure, paliwanag ni ilalin.","['Silvestre', 'Bello', 'III', 'nagannounce', 'Olalia']","{'Silvestre': ['semestre', 'silver', 'balustre', 'bilyete', 'divest'], 'Bello': ['bell', 'belly', 'belo', 'ball', 'ballot'], 'III': ['ibi', 'idi', 'igi', 'ihi', 'ii'], 'nagannounce': ['announce', 'unannounced', 'denounce', 'maganyong', 'naaanong'], 'Olalia': ['alala', 'ilalim', 'ilalin', 'lala', 'lalik']}",TP,FN
Sinusundan namin ang bawat kuwento niya tungkol sa naipun dar niyang malawak na lupain.,Sinusundan namin ang bawat kuwento niya tungkol sa naipundar niyang malawak na lupain.,Sinusundan namin ang bawat kuwento niya tungkol sa ipun car niyang malawak na lupain.,"['naipun', 'dar']","{'naipun': ['naipon', 'iipun', 'ipun', 'lipun', 'maipon'], 'dar': ['ar', 'bar', 'car', 'da', 'dad']}",TP,FN
Sabi kaagad Ivana.,Sabi kaagad ni Ivana.,Sabi kaagad bana.,['Ivana'],"{'Ivana': ['ikana', 'asana', 'bana', 'diana', 'diyana']}",TP,FN
Sana magsunod-sunod na din yung projects kasi gusto ko na rin ulit magtrabaho.,Sana magsunod-sunod na rin yung projects kasi gusto ko na rin ulit magtrabaho.,Sana magsuyod-sunod na rin yung projects kasi gusto ko na rin ulit magtrabaho.,['magsunod'],"{'magsunod': ['magsuno', 'magsunog', 'magsuyod', 'maisunod', 'masunod']}",TP,FN
Tuluy-tuloy lang ang a yuda ng ACT-CIS Partylist sa mga mahihirap at mga nangangailangan na mga kababayan.,Tuluy-tuloy lang ang ayuda ng ACT-CIS Partylist sa mga mahihirap at mga nangangailangan na mga kababayan.,Tuluy-tuloy lang ang ag yuta ng ACT-cms Partylist sa mga mahihirap at mga nangangailangan na mga kababayan.,"['a', 'yuda', 'CIS']","{'a': ['ab', 'ad', 'ag', 'ah', 'ak'], 'yuda': ['ayuda', 'duda', 'yuta', 'aayuda', 'ada'], 'CIS': ['ces', 'cio', 'cms', 'cos', 'dis']}",TP,FN
