Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
"Sa Bongabon, alas-8:50 ng gabi ng Huwebes ay nanonood lang sa mga nagpapaputok sa loob ng kanilang bahay ang 8-anyos nang bigla umanong lumabas at pinulot ang isang hindi pumutok na kwitis saka inilagay sa isang bote ng softdrink.","Sa Bongabon, alas-8:50 ng gabi ng Huwebes ay nanonood lang sa mga nagpapaputok sa loob ng kanilang bahay ang 8-anyos nang bigla umanong lumabas at pinulot ang isang hindi pumutok na kwitis saka inilagay sa isang bote ng softdrink.","Sa bangalin, alas-d:ag ng gabi ng Huwebes ay nanonood lang sa mga nagpapaputok sa loob ng kanilang bahay ang d-anyos nang bigla umanong lumabas at pinulot ang isang hindi pumutok na kwitis saka inilagay sa isang bote ng doktorin.","['Bongabon', '8', '50', '8', 'softdrink']","{'Bongabon': ['bongbong', 'bangalan', 'bangalin', 'bangan', 'banganan'], '8': ['b', 'c', 'd', 'e', 'f'], '50': ['ab', 'ad', 'ag', 'ah', 'ak'], 'softdrink': ['softdrinks', 'doctrine', 'doktorin', 'doktoring', 'doktrina']}",FP,FP
Magugunitang Setyembre noong nakalipas na taon nang suspendihin ni DOLE Secretary Silvestra Bello ang implementasyon ng TUPAD program sa QC-district 2 matapos na sumambulat ang anomalyang nangyayari dito.,Magugunitang Setyembre noong nakalipas na taon nang suspendihin ni DOLE Secretary Silvestra Bello ang implementasyon ng TUPAD program sa QC-district 2 matapos na sumambulat ang anomalyang nangyayari dito.,Magugunitang Setyembre noong nakalipas na taon nang suspendihin ni DOLE Secretary silyeta belo ang implementasyon ng TUPAD program sa oc-district d matapos na sumambulat ang anomalyang nangyayari dito.,"['Silvestra', 'Bello', 'QC', '2']","{'Silvestra': ['silver', 'silweta', 'silyeta', 'siyesta', 'divest'], 'Bello': ['bell', 'belly', 'belo', 'ball', 'ballot'], 'QC': ['c', 'cc', 'oc', 'q', 'ab'], '2': ['b', 'c', 'd', 'e', 'f']}",FP,FP
"Ipinaliwanag ni Teves na kapag nag-ghosting ang ka-partner ay apektado ang emosyon, kaisipan at pisikal na kondisyon ng isang tao kaya dapat lamang maisabatas ang iniindorso niyang ??Ghosting Law??.","Ipinaliwanag ni Teves na kapag nag-ghosting ang ka-partner ay apektado ang emosyon, kaisipan at pisikal na kondisyon ng isang tao kaya dapat lamang maisabatas ang iniindorso niyang ??Ghosting Law??.","Ipinaliwanag ni ever na kapag nag-ghosting ang ka-partner ay apektado ang emosyon, kaisipan at pisikal na kondisyon ng isang tao kaya dapat lamang maisabatas ang iniindorso niyang ??Ghosting Law??.",['Teves'],"{'Teves': ['beses', 'even', 'ever', 'eyes', 'fees']}",FP,FP
Nabatid kay Gobway na isisilbi ng Philippine Drug Enforcement Agency (PDEA) ang arrest warrant laban kay Sarri nang magpaputok ang mga tauhan nito at tinamaan ang dalawang sundalo.,Nabatid kay Gobway na isisilbi ng Philippine Drug Enforcement Agency (PDEA) ang arrest warrant laban kay Sarri nang magpaputok ang mga tauhan nito at tinamaan ang dalawang sundalo.,Nabatid kay gibay na isisilbi ng Philippine Drug Enforcement Agency (ada) ang arrest warrant laban kay aari nang magpaputok ang mga tauhan nito at tinamaan ang dalawang sundalo.,"['Gobway', 'PDEA', 'Sarri']","{'Gobway': ['gabay', 'gaway', 'gibay', 'norway', 'subway'], 'PDEA': ['idea', 'plea', 'ada', 'adya', 'apnea'], 'Sarri': ['sari', 'aaari', 'aari', 'agri', 'aparri']}",FP,FP
"Kamakailan lang nang magbalik sa teleseryeng ""FPJs Ang Probinsyano"" si Nash matapos ang pitong taon, kung saan gumanap siya bilang ang batang Cardo Dalisay.","Kamakailan lang nang magbalik sa teleseryeng ""FPJs Ang Probinsyano"" si Nash matapos ang pitong taon, kung saan gumanap siya bilang ang batang Cardo Dalisay.","Kamakailan lang nang magbalik sa heleheleng ""fans Ang Probinsyano"" si dash matapos ang pitong taon, kung saan gumanap siya bilang ang batang cargo Dalisay.","['teleseryeng', 'FPJs', 'Nash', 'Cardo']","{'teleseryeng': ['teleserye', 'telescopeng', 'heleheleng', 'kaleserong', 'semestreng'], 'FPJs': ['apps', 'epps', 'fans', 'fees', 'ipis'], 'Nash': ['ash', 'cash', 'dash', 'kash', 'nas'], 'Cardo': ['card', 'cards', 'cargo', 'pardo', 'aarko']}",FP,FP
Bago pa pumutok ang kuwento tungkol sa pinagdadaanan ng isang kilalang male personality ay nauna nang lumabas ang balitang gusto na niyang kumalas sa kanyang karelasyon.,Bago pa pumutok ang kuwento tungkol sa pinagdadaanan ng isang kilalang male personality ay nauna nang lumabas ang balitang gusto na niyang kumalas sa kanyang karelasyon.,Bago pa pumutok ang kuwento tungkol sa pinagdadaanan ng isang kilalang male personality ay nauna nang lumabas ang balitang gusto na niyang kumalas sa kanyang karelasyon.,[],{},TN,TN
Tama ba ang narinig namin na hindi lang pelikula ang gagawin ng ex-couple na sina Sharon Cuneta at Gabby Concepcion?,Tama ba ang narinig namin na hindi lang pelikula ang gagawin ng ex-couple na sina Sharon Cuneta at Gabby Concepcion?,Tama ba ang narinig namin na hindi lang pelikula ang gagawin ng ex-couple na sina hapon cinema at aaboy concessions?,"['Sharon', 'Cuneta', 'Gabby', 'Concepcion']","{'Sharon': ['baron', 'hamon', 'hapon', 'haro', 'harok'], 'Cuneta': ['bunete', 'bunita', 'cinema', 'gunita', 'hunta'], 'Gabby': ['gabay', 'aabay', 'aaboy', 'abay', 'aboy'], 'Concepcion': ['concession', 'coercion', 'concessions', 'conclusion', 'confession']}",FP,FP
Kuha na ni Ancajas ang timbang nito na kasalukuyang may 115 pounds na bigat ?? ang eksaktong catch weight sa laban nito kay Rodriguez.,Kuha na ni Ancajas ang timbang nito na kasalukuyang may 115 pounds na bigat ?? ang eksaktong catch weight sa laban nito kay Rodriguez.,Kuha na ni aalas ang timbang nito na kasalukuyang may aag pounds na bigat ?? ang eksaktong catch weight sa laban nito kay Rodriguez.,"['Ancajas', '115']","{'Ancajas': ['aagahas', 'aalahas', 'aalas', 'aatas', 'aawas'], '115': ['p25', 'p75', 'aag', 'aal', 'aam']}",FP,FP
"Nobody forced me into this, aniya pa na in all fairness ay ??natameme?? naman ang ibang bashers kahapon nang lumabas na sa social media dahil ang gandang lumabas ng pictorial kahit hindi the usual na perfect body ang model.","Nobody forced me into this, aniya pa na in all fairness ay ??natameme?? naman ang ibang bashers kahapon nang lumabas na sa social media dahil ang gandang lumabas ng pictorial kahit hindi the usual na perfect body ang model.","body forced me into this, aniya pa na in all fairness ay ??nameke?? naman ang ibang bankers kahapon nang lumabas na sa social media dahil ang gandang lumabas ng dictatorial kahit hindi the usual na perfect body ang model.","['Nobody', 'natameme', 'bashers', 'pictorial']","{'Nobody': ['anybody', 'boboy', 'body', 'koboy', 'nood'], 'natameme': ['academe', 'katamine', 'nameke', 'namemeke', 'natamaan'], 'bashers': ['backers', 'ballers', 'bankers', 'banners', 'barkers'], 'pictorial': ['sectorial', 'bacterial', 'dictatorial', 'directorial', 'editorial']}",FP,FP
"Taong 2020 naman nang sagutin ni Yap ang ilang akusasyon ngpagiging ""pedophile"" at ""groomer"" ng mga menor de edad, bagay na kanyang itinatanggi.","Taong 2020 naman nang sagutin ni Yap ang ilang akusasyon ngpagiging ""pedophile"" at ""groomer"" ng mga menor de edad, bagay na kanyang itinatanggi.","Taong aag naman nang sagutin ni cap ang ilang akusasyon nagpagiring ""pedophile"" at ""grower"" ng mga menor de edad, bagay na kanyang itinatanggi.","['2020', 'Yap', 'ngpagiging', 'groomer']","{'2020': ['p25', 'aaba', 'aag', 'aako', 'aal'], 'Yap': ['ap', 'ayap', 'cap', 'gap', 'map'], 'ngpagiging': ['napagiging', 'nagiging', 'nagpagiring', 'nanagiging', 'pagiging'], 'groomer': ['groom', 'groser', 'grower', 'trooper', 'booter']}",FP,FP
