Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
Nabatid na unang inireport na nawawala ang biktima nang hindi nakauwi matapos na umakyat sa bundok noong Setyembre 30 upang magdasal at hilingin sa milagrosong Holy Cross na makapasa sa nasabing licensure exam ang anak.,Nabatid na unang inireport na nawawala ang biktima nang hindi nakauwi matapos na umakyat sa bundok noong Setyembre 30 upang magdasal at hilingin sa milagrosong Holy Cross na makapasa sa nasabing licensure exam ang anak.,Nabatid na unang inireport na nawawala ang biktima nang hindi nakauwi matapos na umakyat sa bundok noong Setyembre ag upang magdasal at hilingin sa milagrosong Holy Cross na makapasa sa nasabing licensure exam ang anak.,['30'],"{'30': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"Bago naman bumalik sa Manila, tutungo muna ang Ajakada sa Blue House kung saan ito ang official residence ng namumuno ng South Korea at pupuntahan din nila ang kilalang cultural exhibition space na K-Style Hub kung saan mas makikilala pa nila ang makulay na kultura ng bansa.","Bago naman bumalik sa Manila, tutungo muna ang Ajakada sa Blue House kung saan ito ang official residence ng namumuno ng South Korea at pupuntahan din nila ang kilalang cultural exhibition space na K-Style Hub kung saan mas makikilala pa nila ang makulay na kultura ng bansa.","Bago naman bumalik sa Manila, tutungo muna ang aakda sa Blue House kung saan ito ang official residence ng namumuno ng South Korea at pupuntahan din nila ang kilalang cultural exhibition space na K-Style Hub kung saan mas makikilala pa nila ang makulay na kultura ng bansa.",['Ajakada'],"{'Ajakada': ['abakada', 'aakala', 'aakda', 'aasada', 'sakada']}"
"Sa SurfSaya 20, lalo pinadali ang pag-share ng updates sa Facebook, makipag-bonding sa kanilang mga kaibigan sa ranked games sa Mobile Legends o makisali sa bagong TikTok trends.","Sa SurfSaya 20, lalo pinadali ang pag-share ng updates sa Facebook, makipag-bonding sa kanilang mga kaibigan sa ranked games sa Mobile Legends o makisali sa bagong TikTok trends.","Sa sumasadya ag, lalo pinasali ang pag-share ng updates sa Facebook, makipag-bonding sa kanilang mga kaibigan sa ranked games sa Mobile agenda o makisali sa bagong TikTok trends.","['SurfSaya', '20', 'pinarali', 'Legends']","{'SurfSaya': ['sumasaya', 'sasaya', 'sumasadya', 'sumasaka', 'sumasala'], '20': ['ab', 'ad', 'ag', 'ah', 'ak'], 'pinarali': ['pinadali', 'pinarami', 'pinasali', 'binabali', 'dinadali'], 'Legends': ['legend', 'leyenda', 'agenda', 'agendy', 'agents']}"
Bawat obrang kaniyang ginagawa ay tumatagal ng isang araw bago matapos.,Bawat obrang kaniyang ginagawa ay tumatagal ng isang araw bago matapos.,Bawat obrang kaniyang ginagawa ay tumatagal ng isang araw bago matapos.,[],{}
"Bacacay, Albay, Philippines ?? Isa nang malamig na bangkay nang matagpuan ang isang lalaki na nakaposas at nakagapos ang dalawang binti sa may drainage canal sa tabi ng kalsada sa liblib na lugar ng Purok-6, Sitio Tiga, Brgy.","Bacacay, Albay, Philippines ?? Isa nang malamig na bangkay nang matagpuan ang isang lalaki na nakaposas at nakagapos ang dalawang binti sa may drainage canal sa tabi ng kalsada sa liblib na lugar ng Purok-6, Sitio Tiga, Brgy.","babatay, Albay, Philippines ?? Isa nang malamig na bangkay nang matagpuan ang isang lalaki na nakaposas at nakagapos ang dalawang binti sa may drainage canal sa tabi ng kalsada sa liblib na lugar ng Purok-d, Sitio higa, Brgy.","['Bacacay', '6', 'Tiga']","{'Bacacay': ['babagay', 'babakay', 'babatay', 'backpay', 'balatay'], '6': ['b', 'c', 'd', 'e', 'f'], 'Tiga': ['biga', 'diga', 'higa', 'iga', 'liga']}"
Dahil sa US tour ay wala munang laro sa dalawang weekly rounds ng NBL ang Adelaide na sa Oktubre 13 pa sasalang kontra sa Tasmania JackJumpers sa Adelaide Entertainment Centre.,Dahil sa US tour ay wala munang laro sa dalawang weekly rounds ng NBL ang Adelaide na sa Oktubre 13 pa sasalang kontra sa Tasmania JackJumpers sa Adelaide Entertainment Centre.,Dahil sa US tour ay wala munang laro sa dalawang weekly rounds ng aal ang alklade na sa Oktubre ad pa sasalang kontra sa armonia backpackers sa alklade Entertainment bente.,"['NBL', 'Adelaide', '13', 'Tasmania', 'JackJumpers', 'Adelaide', 'Centre']","{'NBL': ['nal', 'nbg', 'aal', 'ab', 'aba'], 'Adelaide': ['adelanto', 'alkaide', 'alklade', 'apelyido', 'abenida'], '13': ['p3', 'ab', 'ad', 'ag', 'ah'], 'Tasmania': ['aasmahin', 'ammonia', 'armonia', 'asana', 'asmahin'], 'JackJumpers': ['parajumper', 'backers', 'backpackers', 'backriders', 'hackers'], 'Centre': ['centres', 'centro', 'bente', 'censure', 'center']}"
"Ang mga may naunang pag-apruba sa mga flexible na oras ng pagtatrabaho at alternatibong mga kaayusan sa trabaho ay dapat panatilihing napapailalim sa naaangkop na mga alituntunin at regulasyon ng Komisyon sa Serbisyo Sibil sa usapin, sinabi ng administrador ng lungsod.","Ang mga may naunang pag-apruba sa mga flexible na oras ng pagtatrabaho at alternatibong mga kaayusan sa trabaho ay dapat panatilihing napapailalim sa naaangkop na mga alituntunin at regulasyon ng Komisyon sa Serbisyo Sibil sa usapin, sinabi ng administrador ng lungsod.","Ang mga may naunang pag-apruba sa mga flexible na oras ng pagtatrabaho at alternatibong mga kaayusan sa trabaho ay dapat panatilihing napapailalim sa naaangkop na mga alituntunin at regulasyon ng Komisyon sa Serbisyo Sibil sa usapin, sinabi ng administrador ng lungsod.",[],{}
"Ayon kay Santiago, magpapatuloy ang pag-iinspeksyon ng LTO sa mga bus hanggang sa Linggo gayundin sa mga regional offices para naman sa mga provincial buses na pabalik naman ng Metro Manila.","Ayon kay Santiago, magpapatuloy ang pag-iinspeksyon ng LTO sa mga bus hanggang sa Linggo gayundin sa mga regional offices para naman sa mga provincial buses na pabalik naman ng Metro Manila.","Ayon kay aantig, magpapatuloy ang pag-iinspeksyon ng ito sa mga bus hanggang sa Linggo gayundin sa mga regional offices para naman sa mga provincial buses na pabalik naman ng Metro Manila.","['Santiago', 'LTO']","{'Santiago': ['antigo', 'santing', 'aantig', 'antig', 'antimano'], 'LTO': ['ato', 'eto', 'ito', 'lao', 'lato']}"
Lumalabas na gusto nilang bigyan ng bagong bihis ang Eat Bulaga.,Lumalabas na gusto nilang bigyan ng bagong bihis ang Eat Bulaga.,Lumalabas na gusto nilang bigyan ng bagong bihis ang Eat bulagan.,['Bulaga'],"{'Bulaga': ['balaga', 'bulag', 'bulagan', 'bulagaw', 'bulagta']}"
Nakikita naman daw nilang laging kausap ni magandang aktres ang asawa niya at anak habang naka-lock in taping ito.,Nakikita naman daw nilang laging kausap ni magandang aktres ang asawa niya at anak habang naka-lock in taping ito.,Nakikita naman daw nilang laging kausap ni magandang aktres ang asawa niya at anak habang naka-lock in taping ito.,[],{}
