Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
"Sabi pa ng friend ni kilalang female celebrity, Alamin mo kung sino yung kasama niya.","Sabi pa ng friend ni kilalang female celebrity, Alamin mo kung sino yung kasama niya.","Sabi pa ng friend ni kilalang female celebrity, Alamin mo kung sino yung kasama niya.",[],{}
Imagine mo na talagang concerned siya sa kalagayan ng showbiz writers na tiyak niya tinamaan ng nangyayari ngayong pandemic.,Imagine mo na talagang concerned siya sa kalagayan ng showbiz writers na tiyak niya tinamaan ng nangyayari ngayong pandemic.,Imagine mo na talagang concerned siya sa kalagayan ng showbiz writers na tiyak niya tinamaan ng nangyayari ngayong pandemic.,[],{}
"Wala akong nakitang justification para gamitan ng baril at patayin yung tao na yun o sugatan lang, pahayag ni Torre.","Wala akong nakitang justification para gamitan ng baril at patayin yung tao na yun o sugatan lang, pahayag ni Torre.","Wala akong nakitang justification para gamitan ng baril at patayin yung tao na yun o sugatan lang, pahayag ni borne.",['Torre'],"{'Torre': ['tore', 'torpe', 'borne', 'core', 'force']}"
Iyon ang madalas na nakakalimutan ng mga artista.,Iyon ang madalas na nakakalimutan ng mga artista.,Iyon ang mamalas na nakakalimutan ng mga artista.,['maralas'],"{'maralas': ['madalas', 'makalas', 'mamalas', 'marahas', 'maranas']}"
(QRS) na mabilis din niyang sisipain ang kontrata nito sa Department of Foreign Affairs (DFA) kapag hindi ito umayos sa kanilang palpak na serbisyo.,(QRS) na mabilis din niyang sisipain ang kontrata nito sa Department of Foreign Affairs (DFA) kapag hindi ito umayos sa kanilang palpak na serbisyo.,(als) na mabilis din niyang sisipain ang kontrata nito sa Department of Foreign Affairs (ifa) kapag hindi ito umayos sa kanilang palpak na serbisyo.,"['QRS', 'DFA']","{'QRS': ['yrs', 'ads', 'als', 'ar', 'aras'], 'DFA': ['da', 'dfp', 'ifa', 'aba', 'ada']}"
Sinabi ni Presidential Spokesman Harry Roque na may direktiba na ang Presidente para tiyaking mabigyan ng hustisya ang pagkasawi ni Jonson.,Sinabi ni Presidential Spokesman Harry Roque na may direktiba na ang Presidente para tiyaking mabigyan ng hustisya ang pagkasawi ni Jonson.,Sinabi ni Presidential Spokesman aaray Roque na may direktiba na ang Presidente para tiyaking mabigyan ng hustisya ang pagkasawi ni munson.,"['Harry', 'Jonson']","{'Harry': ['carry', 'larry', 'aaray', 'aray', 'army'], 'Jonson': ['jonob', 'monsoon', 'munson', 'onion', 'poison']}"
Parang dito na ako hihingi ng tawad.,Parang dito na ako hihingi ng tawad.,Parang dito na ako hihingi ng tawad.,[],{}
"Dahil daw sa privatization, liberalization, at deregulation ng oil industry, nahayaan na tumaas nang tumaas ang presyo ng mga produktong petrolyo.","Dahil daw sa privatization, liberalization, at deregulation ng oil industry, nahayaan na tumaas nang tumaas ang presyo ng mga produktong petrolyo.","Dahil daw sa privatization, liberalization, at deregulation ng oil industry, babayaan na tumaas nang tumaas ang presyo ng mga produktong petrolyo.",['nahayaan'],"{'nahayaan': ['hahayaan', 'nahawaan', 'babayaan', 'bahayan', 'dadayaan']}"
"Dapat na manatili lamang sa kanilang tahanan ang mga hindi pa bakunado o unvaccinated individuals, may edad na lagpas sa 65, mga buntis at may comorbidities at immunodeficiencies, maliban na lamang kung kailangang lumabas para sa essentials katulad ng pagbili ng gamot, pagkain at services, papasok sa trabaho at ehersisyo.","Dapat na manatili lamang sa kanilang tahanan ang mga hindi pa bakunado o unvaccinated individuals, may edad na lagpas sa 65, mga buntis at may comorbidities at immunodeficiencies, maliban na lamang kung kailangang lumabas para sa essentials katulad ng pagbili ng gamot, pagkain at services, papasok sa trabaho at ehersisyo.","Dapat na manatili lamang sa kanilang tahanan ang mga hindi pa bakunado o unvaccinated individuals, may edad na lagpas sa ag, mga buntis at may comorbidities at immunodeficiencies, maliban na lamang kung kailangang lumabas para sa essentials katulad ng pagbili ng gamot, pagkain at services, papasok sa trabaho at ehersisyo.",['65'],"{'65': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Medyo hirap pa siya noon mag-Tagalog.,Medyo hirap pa siya noon mag-Tagalog.,Medyo hirap pa siya noon mag-Tagalog.,[],{}
