Pattern_ID,POS_N-Gram,Lexeme_N-Gram,MLM_Scores,Comparison_Replacement_Matrix,Final_Hybrid_N-Gram
400001,CC.* DT.* NN.* CC.*,,,,CC.* DT.* NN.* CC.*
400002,DT.* NN.* CC.* NN.*,,,,DT.* NN.* CC.* NN.*
400003,NN.* CC.* NN.* CC.*,,,,NN.* CC.* NN.* CC.*
400004,CC.* NN.* CC.* JJ.*_CC.*,,,,CC.* NN.* CC.* JJ.*_CC.*
400005,NN.* CC.* JJ.*_CC.* FW,,,,NN.* CC.* JJ.*_CC.* FW
400006,CC.* JJ.*_CC.* FW CC.*,,,,CC.* JJ.*_CC.* FW CC.*
400007,JJ.*_CC.* FW CC.* NN.*,,,,JJ.*_CC.* FW CC.* NN.*
400008,FW CC.* NN.* DT.*,,,,FW CC.* NN.* DT.*
400009,CC.* NN.* DT.* DT.*,,,,CC.* NN.* DT.* DT.*
400010,NN.* DT.* DT.* NN.*,,,,NN.* DT.* DT.* NN.*
400011,DT.* DT.* NN.* CC.*,,,,DT.* DT.* NN.* CC.*
400012,DT.* NN.* CC.* FW,,,,DT.* NN.* CC.* FW
400013,FW CC.* DT.* NN.*,,,,FW CC.* DT.* NN.*
400014,CC.* DT.* NN.* FW,,,,CC.* DT.* NN.* FW
400015,RB.* CC.* VB.* CC.*,,,,RB.* CC.* VB.* CC.*
400016,CC.* VB.* CC.* DT.*,,,,CC.* VB.* CC.* DT.*
400017,VB.* CC.* DT.* FW,,,,VB.* CC.* DT.* FW
400018,CC.* DT.* FW CC.*,,,,CC.* DT.* FW CC.*
400019,DT.* FW CC.* RB.*,,,,DT.* FW CC.* RB.*
400020,FW CC.* RB.* CC.*,,,,FW CC.* RB.* CC.*
400021,CC.* RB.* CC.* PR.*_CC.*,,,,CC.* RB.* CC.* PR.*_CC.*
400022,RB.* CC.* PR.*_CC.* NN.*,,,,RB.* CC.* PR.*_CC.* NN.*
400023,CC.* PR.*_CC.* NN.* CC.*,,,,CC.* PR.*_CC.* NN.* CC.*
400024,PR.*_CC.* NN.* CC.* VB.*,,,,PR.*_CC.* NN.* CC.* VB.*
400025,NN.* CC.* VB.* PR.*,,,,NN.* CC.* VB.* PR.*
400026,CC.* VB.* PR.* CC.*,,,,CC.* VB.* PR.* CC.*
400027,VB.* PR.* CC.* NN.*_CC.*,,,,VB.* PR.* CC.* NN.*_CC.*
400028,PR.* CC.* NN.*_CC.* NN.*,,,,PR.* CC.* NN.*_CC.* NN.*
400029,CC.* NN.*_CC.* NN.* CC.*,,,,CC.* NN.*_CC.* NN.* CC.*
400030,NN.*_CC.* NN.* CC.* CC.*,,,,NN.*_CC.* NN.* CC.* CC.*
400031,NN.* CC.* CC.* DT.*,,,,NN.* CC.* CC.* DT.*
400032,CC.* CC.* DT.* NN.*,,,,CC.* CC.* DT.* NN.*
400033,CC.* DT.* NN.* LM,,,,CC.* DT.* NN.* LM
400034,DT.* NN.* LM JJ.*,,,,DT.* NN.* LM JJ.*
400035,NN.* LM JJ.* JJ.*,,,,NN.* LM JJ.* JJ.*
400036,LM JJ.* JJ.* CC.*,,,,LM JJ.* JJ.* CC.*
400037,JJ.* JJ.* CC.* NN.*,,,,JJ.* JJ.* CC.* NN.*
400038,RB.* CC.* PR.* PM.*,,,,RB.* CC.* PR.* PM.*
400039,CC.* PR.* PM.* PR.*,,,,CC.* PR.* PM.* PR.*
400040,PR.* PM.* PR.* LM,,,,PR.* PM.* PR.* LM
400041,PM.* PR.* LM PR.*_CC.*,,,,PM.* PR.* LM PR.*_CC.*
400042,PR.* LM PR.*_CC.* JJ.*,,,,PR.* LM PR.*_CC.* JJ.*
400043,LM PR.*_CC.* JJ.* CC.*,,,,LM PR.*_CC.* JJ.* CC.*
400044,PR.*_CC.* JJ.* CC.* NN.*,,,,PR.*_CC.* JJ.* CC.* NN.*
400045,JJ.* CC.* NN.* CC.*,,,,JJ.* CC.* NN.* CC.*
400046,NN.* PM.* CC.* PM.*,,,,NN.* PM.* CC.* PM.*
400047,PM.* CC.* PM.* FW,,,,PM.* CC.* PM.* FW
400048,CC.* PM.* FW CC.*,,,,CC.* PM.* FW CC.*
400049,PM.* FW CC.* NN.*,,,,PM.* FW CC.* NN.*
400050,FW CC.* NN.* CC.*,,,,FW CC.* NN.* CC.*
400051,CC.* NN.* CC.* PR.*_CC.*,,,,CC.* NN.* CC.* PR.*_CC.*
400052,PR.* PR.*_CC.* VB.* CC.*,,,,PR.* PR.*_CC.* VB.* CC.*
400053,PR.*_CC.* VB.* CC.* NN.*,,,,PR.*_CC.* VB.* CC.* NN.*
400054,VB.* CC.* NN.* CC.*,,,,VB.* CC.* NN.* CC.*
400055,CC.* NN.* CC.* CC.*,,,,CC.* NN.* CC.* CC.*
400056,NN.* CC.* CC.* JJ.*,,,,NN.* CC.* CC.* JJ.*
400057,CC.* CC.* JJ.* PR.*_CC.*,,,,CC.* CC.* JJ.* PR.*_CC.*
400058,CC.* JJ.* PR.*_CC.* VB.*,,,,CC.* JJ.* PR.*_CC.* VB.*
400059,JJ.* PR.*_CC.* VB.* CC.*,,,,JJ.* PR.*_CC.* VB.* CC.*
400060,VB.* CC.* NN.* RB.*,,,,VB.* CC.* NN.* RB.*
400061,CC.* NN.* RB.* CC.*,,,,CC.* NN.* RB.* CC.*
400062,RB.* CC.* NN.* PM.*,,,,RB.* CC.* NN.* PM.*
400063,CC.* NN.* PM.* PR.*_CC.*,,,,CC.* NN.* PM.* PR.*_CC.*
400064,NN.* PM.* PR.*_CC.* NN.*,,,,NN.* PM.* PR.*_CC.* NN.*
400065,PM.* PR.*_CC.* NN.* RB.*,,,,PM.* PR.*_CC.* NN.* RB.*
400066,PR.*_CC.* NN.* RB.* CC.*,,,,PR.*_CC.* NN.* RB.* CC.*
400067,NN.* RB.* CC.* VB.*,,,,NN.* RB.* CC.* VB.*
400068,VB.* CC.* DT.* NN.*,,,,VB.* CC.* DT.* NN.*
400069,NN.* CC.* DT.* NN.*_CC.*,,,,NN.* CC.* DT.* NN.*_CC.*
400070,CC.* DT.* NN.*_CC.* RB.*,,,,CC.* DT.* NN.*_CC.* RB.*
400071,DT.* NN.*_CC.* RB.* FW,,,,DT.* NN.*_CC.* RB.* FW
400072,RB.* FW CC.* NN.*,,,,RB.* FW CC.* NN.*
400073,FW CC.* NN.* PM.*,,,,FW CC.* NN.* PM.*
400074,RB.* NN.* DT.* VB.*_CC.*,,,,RB.* NN.* DT.* VB.*_CC.*
400075,JJ.* RB.* RB.*_CC.* NN.*,,,,JJ.* RB.* RB.*_CC.* NN.*
400076,RB.* RB.*_CC.* NN.* PM.*,,,,RB.* RB.*_CC.* NN.* PM.*
400077,PR.* LM PR.*_CC.* NN.*,,,,PR.* LM PR.*_CC.* NN.*
433760,PR.* LM PR.*_CC.* NN.*,Ito ay isang pananaw,81.4005318386131,"['*', 'ay', '*', '*']",PR.* ay PR.*_CC.* NN.*
400078,LM PR.*_CC.* NN.* CC.*,,,,LM PR.*_CC.* NN.* CC.*
400079,PR.*_CC.* NN.* CC.* NN.*,,,,PR.*_CC.* NN.* CC.* NN.*
400080,CC.* NN.* CC.* VB.*,,,,CC.* NN.* CC.* VB.*
400081,NN.* CC.* VB.* DT.*,,,,NN.* CC.* VB.* DT.*
400082,CC.* VB.* DT.* NN.*,,,,CC.* VB.* DT.* NN.*
400083,VB.* DT.* NN.* NN.*,,,,VB.* DT.* NN.* NN.*
400084,PR.* CC.* RB.*_CC.* NN.*,,,,PR.* CC.* RB.*_CC.* NN.*
400085,CC.* RB.*_CC.* NN.* CC.*,,,,CC.* RB.*_CC.* NN.* CC.*
